player_code,player_id,price,player_name,selected_by_percent,team_id,team_code,position_code,position_name
225321,15,50,Ramsdale,14.7,1,3,GKP,Goalkeeper
224068,24,40,Turner,0.8,1,3,GKP,Goalkeeper
98980,31,50,Martínez,5.3,2,7,GKP,Goalkeeper
111782,35,40,Olsen,2.0,2,7,GKP,Goalkeeper
229600,72,45,Travers,0.6,3,91,GKP,Goalkeeper
444172,77,40,Dennis,0.7,3,91,GKP,Goalkeeper
69752,574,45,Neto,0.1,3,91,GKP,Goalkeeper
154561,81,45,Raya,6.1,4,94,GKP,Goalkeeper
235448,100,40,Balcombe,0.1,4,94,GKP,Goalkeeper
140200,517,45,Strakosha,0.2,4,94,GKP,Goalkeeper
49262,102,40,Steele,0.9,5,36,GKP,Goalkeeper
215059,113,45,Sánchez,12.1,5,36,GKP,Goalkeeper
240514,542,40,Scherpen,0.1,5,36,GKP,Goalkeeper
109745,133,45,Arrizabalaga,0.2,6,8,GKP,Goalkeeper
228286,147,50,Mendy,23.5,6,8,GKP,Goalkeeper
40836,152,45,Guaita,1.5,7,31,GKP,Goalkeeper
105666,162,45,Butland,0.1,7,31,GKP,Goalkeeper
101982,175,45,Johnstone,0.1,7,31,GKP,Goalkeeper
169593,495,40,Matthews,0.0,7,31,GKP,Goalkeeper
40349,176,40,Begović,0.6,8,11,GKP,Goalkeeper
111234,182,45,Pickford,5.6,8,11,GKP,Goalkeeper
80201,2,45,Leno,1.3,9,54,GKP,Goalkeeper
102884,207,40,Gazzaniga,5.3,9,54,GKP,Goalkeeper
155529,213,45,Rodák,0.3,9,54,GKP,Goalkeeper
17745,248,50,Schmeichel,0.3,10,13,GKP,Goalkeeper
95463,254,40,Ward,27.4,10,13,GKP,Goalkeeper
207270,548,40,Iversen,2.5,10,13,GKP,Goalkeeper
45220,581,40,Smithies,0.0,10,13,GKP,Goalkeeper
223081,236,40,Klaesson,0.5,11,2,GKP,Goalkeeper
437495,238,45,Meslier,2.3,11,2,GKP,Goalkeeper
78315,578,40,Robles,0.0,11,2,GKP,Goalkeeper
116535,281,55,Alisson,17.4,12,14,GKP,Goalkeeper
200720,289,40,Kelleher,0.2,12,14,GKP,Goalkeeper
60706,497,40,Adrián,0.8,12,14,GKP,Goalkeeper
121160,307,55,Ederson,18.7,13,43,GKP,Goalkeeper
164484,310,40,Steffen,0.0,13,43,GKP,Goalkeeper
88248,324,40,Ortega,0.4,13,43,GKP,Goalkeeper
17601,502,40,Carson,0.1,13,43,GKP,Goalkeeper
51940,327,49,De Gea,5.5,14,1,GKP,Goalkeeper
21205,348,40,Heaton,0.5,14,1,GKP,Goalkeeper
59735,353,40,Darlow,2.5,15,4,GKP,Goalkeeper
67089,355,44,Dubravka,0.9,15,4,GKP,Goalkeeper
98747,376,50,Pope,5.1,15,4,GKP,Goalkeeper
102836,382,45,Samba,0.0,16,17,GKP,Goalkeeper
172649,398,45,Henderson,7.7,16,17,GKP,Goalkeeper
20066,518,40,Hennessey,2.2,16,17,GKP,Goalkeeper
58376,401,45,McCarthy,0.3,17,20,GKP,Goalkeeper
200428,421,40,Lis,0.3,17,20,GKP,Goalkeeper
456350,422,45,Bazunu,0.7,17,20,GKP,Goalkeeper
20310,424,40,Caballero,1.2,17,20,GKP,Goalkeeper
37915,425,55,Lloris,4.4,18,6,GKP,Goalkeeper
40383,426,40,Forster,5.7,18,6,GKP,Goalkeeper
214572,451,40,Austin,0.4,18,6,GKP,Goalkeeper
37096,455,50,Fabianski,1.1,19,21,GKP,Goalkeeper
84182,473,45,Areola,1.5,19,21,GKP,Goalkeeper
32259,571,40,Randolph,0.1,19,21,GKP,Goalkeeper
149065,478,50,Sá,4.2,20,39,GKP,Goalkeeper
216208,492,40,Šarkić,2.2,20,39,GKP,Goalkeeper
246799,557,40,Smith,0.8,20,39,GKP,Goalkeeper
58822,1,44,Cédric,0.2,1,3,DEF,Defender
156074,5,44,Holding,0.1,1,3,DEF,Defender
192895,8,49,Tierney,1.0,1,3,DEF,Defender
198869,10,45,White,5.8,1,3,DEF,Defender
223723,14,44,Tomiyasu,1.2,1,3,DEF,Defender
226597,16,50,Gabriel,8.1,1,3,DEF,Defender
437626,17,45,Tavares,0.0,1,3,DEF,Defender
92371,20,45,Pablo Marí,0.0,1,3,DEF,Defender
462424,26,45,Saliba,5.5,1,3,DEF,Defender
206325,313,52,Zinchenko,28.1,1,3,DEF,Defender
101184,32,45,Chambers,0.3,2,7,DEF,Defender
101188,33,49,Digne,3.4,2,7,DEF,Defender
123354,38,44,Hause,0.0,2,7,DEF,Defender
149484,39,44,Mings,5.3,2,7,DEF,Defender
199796,43,49,Cash,11.8,2,7,DEF,Defender
199798,44,45,Konsa,0.3,2,7,DEF,Defender
165659,50,49,Diego Carlos,0.6,2,7,DEF,Defender
203368,56,40,Guilbert,0.9,2,7,DEF,Defender
155561,525,45,Augustinsson,0.1,2,7,DEF,Defender
537043,537,40,Kesler Hayden,0.1,2,7,DEF,Defender
18892,538,45,Young,0.1,2,7,DEF,Defender
54469,57,45,Smith,0.2,3,91,DEF,Defender
81012,59,44,Fredericks,0.0,3,91,DEF,Defender
154131,65,44,Stacey,0.1,3,91,DEF,Defender
223911,71,45,Mepham,0.1,3,91,DEF,Defender
235530,73,45,Kelly,1.5,3,91,DEF,Defender
447932,76,45,Zemura,0.1,3,91,DEF,Defender
463981,539,45,Hill,0.0,3,91,DEF,Defender
221466,576,45,Senesi,0.0,3,91,DEF,Defender
61810,78,45,Jansson,2.0,4,94,DEF,Defender
174932,82,50,Canós,0.0,4,94,DEF,Defender
191866,84,45,Ajer,0.0,4,94,DEF,Defender
194010,85,45,Henry,1.2,4,94,DEF,Defender
226956,90,45,Roerslev,0.1,4,94,DEF,Defender
228044,91,45,Bech,0.1,4,94,DEF,Defender
231065,92,45,Pinnock,0.0,4,94,DEF,Defender
213687,96,40,Goode,0.7,4,94,DEF,Defender
232247,98,40,Thompson,0.0,4,94,DEF,Defender
472713,510,50,Hickey,0.4,4,94,DEF,Defender
51927,526,45,Mee,3.3,4,94,DEF,Defender
450550,540,40,Stevens,0.3,4,94,DEF,Defender
83299,106,45,Dunk,2.5,5,36,DEF,Defender
110735,108,45,Webster,0.2,5,36,DEF,Defender
111478,109,45,Veltman,0.6,5,36,DEF,Defender
232792,114,45,Lamptey,2.4,5,36,DEF,Defender
433589,122,40,Roberts,0.0,5,36,DEF,Defender
178173,543,40,Clarke,0.3,5,36,DEF,Defender
469142,544,40,Van Hecke,0.3,5,36,DEF,Defender
460028,559,45,Colwill,0.1,5,36,DEF,Defender
204214,586,45,Estupiñán,0.0,5,36,DEF,Defender
179268,112,50,Cucurella,10.5,6,8,DEF,Defender
41328,127,50,Azpilicueta,2.1,6,8,DEF,Defender
51090,128,55,Thiago Silva,6.2,6,8,DEF,Defender
82263,129,54,Alonso,1.6,6,8,DEF,Defender
167767,138,40,Kenedy,0.4,6,8,DEF,Defender
172850,139,60,Chilwell,3.8,6,8,DEF,Defender
180736,141,49,Chalobah,0.5,6,8,DEF,Defender
204727,143,50,Sarr,0.1,6,8,DEF,Defender
225796,146,61,James,43.5,6,8,DEF,Defender
199598,151,45,Ampadu,0.1,6,8,DEF,Defender
86129,520,55,Koulibaly,13.4,6,8,DEF,Defender
109533,545,40,Emerson,0.5,6,8,DEF,Defender
49413,153,40,Tomkins,0.8,7,31,DEF,Defender
55494,156,45,Ward,0.2,7,31,DEF,Defender
57328,157,45,Clyne,0.2,7,31,DEF,Defender
174874,165,45,Andersen,2.4,7,31,DEF,Defender
209036,167,45,Guéhi,1.7,7,31,DEF,Defender
244723,170,45,Mitchell,0.9,7,31,DEF,Defender
232423,174,40,Ferguson,0.2,7,31,DEF,Defender
427623,530,45,Richards,0.1,7,31,DEF,Defender
59949,178,45,Coleman,0.1,8,11,DEF,Defender
106611,180,44,Keane,0.6,8,11,DEF,Defender
164511,188,44,Mina,0.1,8,11,DEF,Defender
194164,192,45,Holgate,0.2,8,11,DEF,Defender
198826,193,44,Godfrey,0.1,8,11,DEF,Defender
224967,194,45,Mykolenko,0.3,8,11,DEF,Defender
480455,196,40,Branthwaite,0.0,8,11,DEF,Defender
243571,197,40,Patterson,5.9,8,11,DEF,Defender
495542,198,40,Nkounkou,0.5,8,11,DEF,Defender
17761,199,45,Tarkowski,0.9,8,11,DEF,Defender
94147,475,49,Coady,3.4,8,11,DEF,Defender
216054,531,45,Vinagre,0.1,8,11,DEF,Defender
61933,105,45,Duffy,0.3,9,54,DEF,Defender
82514,201,45,Ream,0.1,9,54,DEF,Defender
101105,206,44,Bryan,0.0,9,54,DEF,Defender
109434,208,40,Kongolo,0.5,9,54,DEF,Defender
109646,209,45,Tosin,0.1,9,54,DEF,Defender
167074,215,45,Tete,0.4,9,54,DEF,Defender
169528,217,45,Robinson,0.2,9,54,DEF,Defender
