gw,match_date,home/away,fbref_team,fbref_opponent,xGF,xGA,GF,GA,xCS
1,2022-08-05,home,Crystal Palace,Arsenal,0.9,1.0,0,2,0.36787944117144233
1,2022-08-05,away,Arsenal,Crystal Palace,1.0,0.9,2,0,0.4065696597405991
1,2022-08-06,home,Fulham,Liverpool,1.4,1.9,2,2,0.14956861922263506
1,2022-08-06,away,Liverpool,Fulham,1.9,1.4,2,2,0.2465969639416065
1,2022-08-06,home,Bournemouth,Aston Villa,0.5,0.6,2,0,0.5488116360940264
1,2022-08-06,away,Aston Villa,Bournemouth,0.6,0.5,0,2,0.6065306597126334
1,2022-08-06,home,Tottenham,Southampton,1.5,0.5,4,1,0.6065306597126334
1,2022-08-06,away,Southampton,Tottenham,0.5,1.5,1,4,0.22313016014842982
1,2022-08-06,home,Leeds United,Wolves,0.6,1.3,2,1,0.2725317930340126
1,2022-08-06,away,Wolves,Leeds United,1.3,0.6,1,2,0.5488116360940264
1,2022-08-06,home,Newcastle Utd,Nott'ham Forest,2.0,0.4,2,0,0.6703200460356393
1,2022-08-06,away,Nott'ham Forest,Newcastle Utd,0.4,2.0,0,2,0.1353352832366127
1,2022-08-06,home,Everton,Chelsea,0.5,1.6,0,1,0.20189651799465538
1,2022-08-06,away,Chelsea,Everton,1.6,0.5,1,0,0.6065306597126334
1,2022-08-07,home,Leicester City,Brentford,0.6,0.5,2,2,0.6065306597126334
1,2022-08-07,away,Brentford,Leicester City,0.5,0.6,2,2,0.5488116360940264
1,2022-08-07,home,Manchester Utd,Brighton,1.7,1.6,1,2,0.20189651799465538
1,2022-08-07,away,Brighton,Manchester Utd,1.6,1.7,2,1,0.18268352405273466
1,2022-08-07,home,West Ham,Manchester City,0.4,2.3,0,2,0.10025884372280375
1,2022-08-07,away,Manchester City,West Ham,2.3,0.4,2,0,0.6703200460356393
2,2022-08-13,home,Aston Villa,Everton,1.7,1.4,2,1,0.2465969639416065
2,2022-08-13,away,Everton,Aston Villa,1.4,1.7,1,2,0.18268352405273466
2,2022-08-13,home,Arsenal,Leicester City,2.6,0.6,4,2,0.5488116360940264
2,2022-08-13,away,Leicester City,Arsenal,0.6,2.6,2,4,0.07427357821433388
2,2022-08-13,home,Manchester City,Bournemouth,1.6,0.1,4,0,0.9048374180359595
2,2022-08-13,away,Bournemouth,Manchester City,0.1,1.6,0,4,0.20189651799465538
2,2022-08-13,home,Southampton,Leeds United,1.0,2.1,2,2,0.1224564282529819
2,2022-08-13,away,Leeds United,Southampton,2.1,1.0,2,2,0.36787944117144233
2,2022-08-13,home,Wolves,Fulham,0.7,1.2,0,0,0.30119421191220214
2,2022-08-13,away,Fulham,Wolves,1.2,0.7,0,0,0.4965853037914095
2,2022-08-13,home,Brighton,Newcastle Utd,1.0,0.2,0,0,0.8187307530779818
2,2022-08-13,away,Newcastle Utd,Brighton,0.2,1.0,0,0,0.36787944117144233
2,2022-08-13,home,Brentford,Manchester Utd,1.8,0.8,4,0,0.44932896411722156
2,2022-08-13,away,Manchester Utd,Brentford,0.8,1.8,0,4,0.16529888822158653
2,2022-08-14,home,Nott'ham Forest,West Ham,1.4,2.1,1,0,0.1224564282529819
2,2022-08-14,away,West Ham,Nott'ham Forest,2.1,1.4,0,1,0.2465969639416065
2,2022-08-14,home,Chelsea,Tottenham,1.4,1.1,2,2,0.33287108369807955
2,2022-08-14,away,Tottenham,Chelsea,1.1,1.4,2,2,0.2465969639416065
2,2022-08-15,home,Liverpool,Crystal Palace,1.7,1.5,1,1,0.22313016014842982
2,2022-08-15,away,Crystal Palace,Liverpool,1.5,1.7,1,1,0.18268352405273466
